Id,Date,Bond,Price,Position
1,31/12/2011,MRIYA16,88,1
2,31/12/2011,PRBANK12,99,1
3,31/12/2011,DEWAAE16,104,1
4,31/12/2011,VOSTOK19,101.25,1
5,31/12/2011,AZRAIL,101,1
6,31/12/2011,ZHAIK15,99,1
7,31/12/2011,PROMBK18S,104.5,1
8,31/12/2011,AFREXI14,107.5,1
9,31/12/2011,REPNAM21,102.25,1
10,31/12/2011,MOROC20E,91.5,1
11,31/12/2011,ALFARU17,96,1
12,31/12/2011,YKBNK15,93.75,1
13,31/12/2011,UKRAIN21O,87.5,1
14,31/12/2011,OSCHAD16,80,1
15,31/12/2011,GRTBNL16,99.5,1
16,31/12/2011,VIP17,89.5,1
17,31/12/2011,KWIPKK20,104.5,1
18,31/12/2011,DTEKUA15,93,1
19,31/12/2011,ALBANI,86.5,1
20,31/12/2011,DUBAIH17G,72,1
21,06/02/2012,TAQAUH17,111,1
22,06/02/2012,YASAR15,100.25,1
23,06/02/2012,ALRSRU20,104.5625,1
24,06/02/2012,AFRLN16,106.5,1
25,06/02/2012,MRIYA16,88.25,-1
26,06/02/2012,PRBANK12,100,-1
27,06/02/2012,DEWAAE16,105.25,-1
28,06/02/2012,VOSTOK19,104.5,-1
29,30/04/2012,IVYCST32,69,1
30,30/04/2012,EGYPT40,86.75,1
31,30/04/2012,DUGB22SK,100.35,1
32,30/04/2012,BELRUS15,94.75,1
33,30/04/2012,PTABNK16,98.625,1
34,30/04/2012,AZRAIL,105.5,-1
35,30/04/2012,TAQAUH17,111.5,-1
36,30/04/2012,ZHAIK15,103,-1
37,30/04/2012,PROMBK18S,103.25,-1
38,30/04/2012,AFREXI14,110.75,-1
39,30/04/2012,REPNAM21,104.375,-1
40,30/04/2012,MOROC20E,94.15,-1
41,30/04/2012,NMOSRM19S,100.0625,1
42,30/04/2012,AGROK19E,101.5,1
43,09/07/2012,RUSB17,99.875,1
44,09/07/2012,MRIYA16,87,1
45,09/07/2012,IRAQ28,84.5,1
46,09/07/2012,ALFARU17,101.9375,-1
47,09/07/2012,YKBNK15,101.75,-1
48,09/07/2012,IVYCST32,77.625,-1
49,09/07/2012,UKRAIN21O,91.25,-1
50,09/07/2012,AFKSRU,99.375,1
51,31/08/2012,KKB16,89,1
52,31/08/2012,YASAR15,99.5,-1
53,31/08/2012,EGYPT40,96.25,-1
54,31/08/2012,ANGOL19,106.25,1
55,28/09/2012,SERBIA21,107,1
56,28/09/2012,AKBHC15,99.8125,1
57,28/09/2012,OSCHAD16,95.5,-1
58,28/09/2012,GRTBNL16,110,-1
59,14/12/2012,DUGB22SK,116.5,-1
60,14/12/2012,IVYCST32,93.75,1
61,10/01/2013,KKB22,72,1
62,10/01/2013,RSHB21S,105,1
63,10/01/2013,VIP17,109.5,-1
64,10/01/2013,RUSB17,105.75,-1
65,10/01/2013,KKB16,98,-1
66,10/01/2013,VTBP,108,1
67,31/01/2013,ADIBUHP,104.125,1
68,31/01/2013,KWIPKK20,130.5,-1
69,15/03/2013,UKRAIN14O,103.25,1
70,15/03/2013,ALLIBK17,96.5,1
71,15/03/2013,ALRSRU20,118.125,-1
72,15/03/2013,DTEKUA15,106,-1
73,15/03/2013,KKB22,80,-1
74,15/03/2013,KKB16,97.3125,1
75,25/04/2013,DTEKUA18,99,1
76,25/04/2013,MRIYA16,106.75,-1
77,31/05/2013,REPHUN23,99.625,1
78,31/05/2013,EBIUHP,95.25,1
79,31/05/2013,UKRAIN17NO,107.375,1
80,31/05/2013,UKRAIN14O,102.375,-1
81,31/05/2013,IRAQ28,88,-1
82,31/05/2013,ADIBUHP,103.375,-1
83,31/05/2013,AFRLN16,118.125,-1
84,31/05/2013,RCCF16,100.25,1
85,11/06/2013,VIP23,92.625,1
86,11/06/2013,ALBANI,105,-1
87,22/07/2013,SLOVEN18,98.75,1
88,22/07/2013,BELRUS15,103,-1
89,12/08/2013,FXPOLN16,94.5,1
90,12/08/2013,DTEKUA18,97,-1
91,01/10/2013,METINV18,86.875,1
92,01/10/2013,FXPOLN16,92.25,-1
93,01/10/2013,REPHUN23,97.875,-1
94,01/10/2013,VIP23,94.875,-1
95,01/10/2013,FESHRU18,87.75,1
96,01/10/2013,MEMATU,92.1875,1
97,11/10/2013,ALLIBK17,58,-1
98,11/10/2013,MHPSA20,82.5,1
99,06/12/2013,PTABNK18,100,1
100,06/12/2013,PTABNK16,106,-1
101,22/01/2014,TURKEY25,112,1
102,22/01/2014,ZAMBIN22,85.5,1
103,22/01/2014,DUBAIH17G,105,-1
104,22/01/2014,EBIUHP,93.125,-1
105,22/01/2014,SLOVEN18,103.875,-1
106,22/01/2014,UKRAIN17NO,100.5,-1
107,22/01/2014,UUUCN,99.875,1
108,22/01/2014,ARMEN20,100.875,1
109,12/02/2014,METINV18,88.75,-1
110,12/02/2014,VAKBN22S,89,1
111,24/02/2014,NGERIA23,99.25,1
112,24/02/2014,SERBIA21,110.75,-1
113,05/03/2014,DTEKUA18,75.5,1
114,05/03/2014,RSHB21S,100.5,-1
115,30/04/2014,PTABNK18,106.125,-1
116,30/04/2014,AKBHC15,103.5,-1
117,30/04/2014,GRTBNL18,99.5,1
118,30/04/2014,RUSSIA23,95.25,1
119,15/05/2014,NGERIA23,107.875,-1
120,15/05/2014,BELRUS15,102.5,1
121,28/05/2014,DTEKUA18,84.25,-1
122,28/05/2014,TURKEY25,120.5,-1
123,28/05/2014,OCPMR24,103.625,1
124,28/05/2014,HSBKKZ21,107,1
125,09/06/2014,ZAMBIN22,95.75,-1
126,09/06/2014,GHANA17,107.25,1
127,16/07/2014,IVYCST32,100.5,-1
128,16/07/2014,KKB16,100.75,-1
129,16/07/2014,KKB22,75.25,1
130,16/07/2014,DIAMBK19,99.5,1
131,31/10/2014,RCCF16,89,-1
132,31/10/2014,SBERRU24S,90.5,1
133,26/01/2015,OCPMR24,109,-1
134,26/01/2015,VEBBNK16CH,91,1
135,19/02/2015,MHPSA20,64.5,-1
136,19/02/2015,ESKOM25,101.25,1
137,08/04/2015,AGROK19E,108,-1
138,08/04/2015,RUSSIA23,99.375,-1
139,08/04/2015,IRAQ28,85.25,1
140,08/04/2015,MONTEN20E,99,1
141,10/06/2015,ANGOL19,102,-1
142,10/06/2015,IVYCST24,93,1
143,08/07/2015,GRTBNL18,95.75,-1
144,08/07/2015,ZAMBIN22,85.25,1
145,03/08/2015,BELRUS15,100,-1
146,03/08/2015,EVRAZ20,91.125,1
147,20/08/2015,VEBBNK16CH,100,-1
148,20/08/2015,KAZAKS44,76.75,1
149,22/09/2015,NMOSRM19S,99.75,-1
150,22/09/2015,PETBRA15,63,1
151,19/10/2015,KAZAKS44,85.75,-1
152,19/10/2015,SOIAZ23,91.25,1
153,10/11/2015,GHANA17,101,-1
154,10/11/2015,MACEDO21E,95.625,1
155,08/12/2015,AFKSRU,101.875,-1
156,08/12/2015,REPCAM25,95,1
157,21/03/2016,ZAMBIN22,76.75,-1
158,21/03/2016,GHANA30,98.25,1
159,06/04/2016,MEMATU,88,-1
160,06/04/2016,MOZAM23,88,1
161,22/06/2016,SOIAZ23,94,-1
162,22/06/2016,VAKBN22S,100.75,-1
163,22/06/2016,UKRAIN19,98.25,1
164,22/06/2016,ZAMBIN27,83.5,1
165,08/07/2016,GHANA30,107,-1
166,08/07/2016,ESKOM25,102.75,-1
167,08/07/2016,BOAD21,105,1
168,08/07/2016,OCPMR24,107.75,1
169,20/07/2016,ARMEN20,104.75,-1
170,20/07/2016,VAKBN22S,93.5,1
171,17/08/2016,REPCAM25,111.25,-1
172,17/08/2016,EGYPT25,98,1
173,14/09/2016,IVYCST24,100.25,-1
174,14/09/2016,GHANA22,100,1
175,20/09/2016,MACEDO21E,102.5,-1
176,20/09/2016,AGROK20E,103.5,1
177,16/11/2016,VAKBN22S,93.5,-1
178,16/11/2016,TURKEY43,81.125,1
179,23/11/2016,MOZAM23,65,-1
180,23/11/2016,ARGENT27E,88,1
181,13/12/2016,UUUCN,103.125,-1
182,13/12/2016,ANGOL25,94.625,1
183,06/02/2017,SBERRU24S,102.4375,-1
184,06/02/2017,KERPW22,101.125,1
185,21/02/2017,FESHRU18,60,-1
186,21/02/2017,VOSTOK20,71,1
187,21/02/2017,AGROK20E,82.5,-1
188,21/02/2017,VAKBN25S,99.375,1
189,07/03/2017,ZAMBIN27,106.5,-1
190,07/03/2017,ARMEN25,105,1
191,19/04/2017,ARMEN25,109.5,-1
192,19/04/2017,NGERIA32,106.4375,1
193,19/04/2017,EVRAZ20,106.875,-1
194,19/04/2017,CRBKMO27S,100.75,1
195,11/05/2017,ANGOL25,105.875,-1
196,11/05/2017,BTUN24E,103.5,1
197,11/07/2017,KKB22,97.25,-1
198,11/07/2017,KZOKZ47,93.25,1
199,19/09/2017,BOAD21,106.5,-1
200,19/09/2017,GABON24,98,1
201,19/09/2017,HSBKKZ21,110.625,-1
202,19/09/2017,TAJIKI27,99,1
203,29/09/2017,UKRAIN19,105.5,-1
204,29/09/2017,UKRAIN32,97.75,1
205,08/11/2017,KZOKZ47,100.75,-1
206,08/11/2017,BHRAIN47,93.5,1
