SEND,Header,Change,Autoforward,Bond0,Bond1,Bond2,Bond3,Bond4,Bond5,Bond6,Bond7,Bond8,Bond9,Bond10,Bond11,Bond12,Bond13,Bond14,Bond15,Bond16,Bond17,Bond18,Bond19,Bond20,Bond21,Bond22,Bond23,Bond24,Bond25,Bond26,Bond27,Bond28,Bond29,Bond30,Bond31,Bond32,Bond33,Bond34,Bond35,Bond36,Bond37,Bond38,Bond39,Bond40,Bond41,Bond42,Bond43,Bond44,Bond45,Bond46,Bond47,Bond48,Bond49,Bond50,Bond51,Bond52,Bond53,Bond54,Bond55,Bond56,Bond57,Bond58,Bond59,Bond60,Bond61,Bond62,Bond63,Bond64,Bond65,Bond66,Bond67,Bond68,Bond69,Bond70,Bond71,Bond72,Bond73,Bond74,Bond75,Bond76,Bond77,Bond78,Bond79,Bond80,Bond81,Bond82,Bond83,Bond84,Bond85,Bond86,Bond87,Bond88,Bond89,Bond90,Bond91,Bond92,Bond93,Bond94,Bond95,Bond96,Bond97,Bond98,Bond99,Bond100
TEMP,Temporary,Price,TRUE,START,BOND1,BOND2,BOND3,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa,Price,TRUE,START,ANGOL19,ANGOL25,ETHOPI24,GABON17,GABON24,GABON25,GHANA22,GHANA23,GHANA26,GHANA30,IVYCST24,IVYCST25E,IVYCST28,IVYCST32,IVYCST33,KENINT19,KENINT24,MOZAM23,NGERIA18,NGERIA21,NGERIA22,NGERIA23,NGERIA27,NGERIA32,NGERIA47,REPCAM25,REPCON29,REPNAM21,REPNAM25,RWANDA23,SENEGL21,SENEGL24,SENEGL33,SOAF26,TNZNIA20,ZAMBIN22,ZAMBIN24,ZAMBIN27,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOAF,"South African Sovereign, Eskom, Transnet",Spread,TRUE,START,SOAF19,SOAF20,SOAFSK,SOAF22,SOAF24,SOAF25,SOAF26,SOAF27,SOAF28,SOAF41,SOAF44,SOAF46,SOAF47,SAFTRA22,ESKOM21,ESKOM23,ESKOM25,SOAF26E,ESKOM18Z,ESKOM27Z,ESKOM32Z,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOAFC,South African corporates,Price,TRUE,START,SOAF25,SAFTRA22,ESKOM21,ESKOM23,ESKOM25,NPNSJ17,NPNSJ20,NPNSJ25,MTNSJ22,MTNSJ24,MTNSJ26,FSRSJ20,AFRIBK620,AFRIBK820,AFRIBKRN,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFBK,African Banks,Price,TRUE,START,AFREXI18,AFREXI19,AFREXI21,AFRFIN20,AFRFIN24,BOAD21,BOAD27,PTABNK18,PTABNK22,AFRIBK620,AFRIBK820,AFRIBK19CH,FSRSJ20,ACCESS21,ACCESS21S,DIAMBK19,ECOTRA21,FBNNL20S,FBNNL21S,FIDBAN18,FIDBAN22,GRTBNL18,UBANL22,ZENITH19,ZENITH22,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFSBK,African Supranational Banks,Spread,TRUE,START,AFREXI18,AFREXI19,AFREXI21,AFREXI24,AFRFIN20,AFRFIN24,BOAD21,BOAD27,PTABNK18,PTABNK22,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria Eurobonds,Price,TRUE,START,NGERIA18,NGERIA21,NGERIA22,NGERIA23,NGERIA27,NGERIA32,NGERIA47,ACCESS21,ACCESS21S,DIAMBK19,ECOTRA21,FBNNL20S,FBNNL21S,FIDBAN18,FIDBAN22,GRTBNL18,UBANL22,ZENITH19,ZENITH22,SEATRK,HELTOW,IHSHLD21,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAF,North Africa,Price,TRUE,START,EGYPT20,EGYPT22,EGYPT25,EGYPT27,EGYPT40,EGYPT47,IRAQ23,IRAQ28,MOROC22,MOROC42,JORDAN26,JORDAN27,JORDAN47,BTUN20E,BTUN24E,BTUN25,OCPMR24,OCPMR25,OCPMR44,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,Egypt,Price,TRUE,START,EGYPT20,EGYPT22,EGYPT25,EGYPT27,EGYPT40,EGYPT47,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKRAINE,Ukraine Sovereign,Price,TRUE,START,UKRAIN19,UKRAIN20,UKRAIN21,UKRAIN22,UKRAIN23,UKRAIN24,UKRAIN25,UKRAIN26,UKRAIN27,UKRAIN32,UKRAIN40,EXIMUK22,EXIMUK25,OSCHAD23,OSCHAD25,END, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKRCB,Ukraine corporates,Price,TRUE,START,DTEKUA24,METINV21,FXPOLN19,INPIP,MHPSA20,MHPSA24,KERPW22,UKRLAN,AVINPU,MRIYA16,MRIYA18,PRBANK18J,PRBANK18F,PRBANK21,PUMBUZ,FICBUA19,VABANK,NADRA17,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZBK,Kazakh Banks,Price,TRUE,START,ALLIBK22,ALLIBK24,ATFBPP,CCBNKZP,DBKAZ20,DBKAZ22,DBKAZ26,EURDEV20,EURDEV22,HSBKKZ21,KAZNMH19E,KAZNMH23,KKB18,KKB22,KKBP,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HY,EM high yield / illiquids indications,Price,FALSE,START,GENLLN,SEVENG,SEATRK,KOS,HELTOW,IHSHLD21,HLSTWR,PUMAFN21,PUMAFN22,TPZMAR,TLWLN20,TLWLN22,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIA,Russia Sovereign,Spread,TRUE,START,RUSSIA20E,RUSSIA18,RUSSIA19,RUSSIA20,RUSSIA30,RUSSIA22,RUSSIA23,RUSSIA26,RUSSIA27,RUSSIA28,RUSSIA42,RUSSIA43,RUSSIA47,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORT,Russia Transport,Price,FALSE,START,RURAIL18CH,RURAIL20,RURAIL21E,RURAIL21CH,RURAIL22,RURAIL23E,RURAIL24,RURAIL31G,SCFRU23,GLPRLI22,GLPRLI23,DMEAIR18,DMEAIR21,END,PROMBK19,PROMBK19S,PROMBK21S,PROMBK21SJ,PROMBKP,HCFBRU20S,HCFBRU21S,AKBHCP,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNGUSD,Hungary $,Price,FALSE,START,REPHUN18,REPHUN19,REPHUN20,MAGYAR20,REPHUN21,REPHUN23,REPHUN23N,REPHUN24,REPHUN41,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERBCRO,Serbia / Croatia,Price,FALSE,START,CROATI17,SERBIA17,HRELEC,SERBIA18,CROATI19,SERBIA20,CROATI20,CROATI21,SERBIA21,REPHUN23,CROATI23,CROATI24,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUC,Caucasia,Price,FALSE,START,AZERBJ24,AZERBJ29,AZERBJ32,SOIAZ23,SOIAZ30,SGCAZE,BELRUS18,BELRUS23,BELRUS27,GEORG21,GRAIL22,GEOROG21,BGEOLN23$,ARMEN20,ARMEN25,KAZAKS24,KAZAKS25,KAZAKS44,KAZAKS45,KZOKZ18,KZOKZ20,KZOKZ21,KZOKZ22,KZOKZ23,KZOKZ25,KZOKZ27,KZOKZ43,KZOKZ47,KTZKZ20,KTZKZ42,KZTGKZ27,TENGIZ26,TAJIKI27,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKBKS,Turkey Banks,Spread,TRUE,START,AKBNK18,AKBNK20,AKBNK22,AKBNK25,AKBNK27S,BNKPOZ18,EXCRTU19,EXCRTU21N,EXCRTU21,EXCRTU22N,EXCRTU23,FINBN19,FINBN22,GARAN19,GARAN21,GARAN22,GARAN23,GARAN27S,HALKBK19,HALKBK20,HALKBK21,HALKBK21N,ISCTR18,ISCTR19,ISCTR20,ISCTR21,ISCTR21N,ISCTR22,ISCTR22S,ISCTR23S,ISCTR24,ISCTR28S,TCZIRA19,TCZIRA21,TCZIRA22,TCZIRA23,TSKBTI19,TSKBTI20,TSKBTI21,TSKBTI27S,TUFIKA18,TUFIKA19,VAKBN18,VAKBN18N,VAKBN21N,VAKBN22,VAKBN22S,VAKBN25S,YKBNK18,YKBNK19,YKBNK20,YKBNK22,YKBNK22S,YKBNK26S,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKEY,Turkey Sovereign,Spread,TRUE,START,TURKEY18,TURKEY19,TURKEY19N,TURKEY20,TURKEY21,TURKEY22,TURKEY22N,TURKEY23,TURKEY24,TURKEY25,TURKEY26,TURKEY26N,TURKEY27,TURKEY30,TURKEY34,TURKEY36,TURKEY38,TURKEY40,TURKEY41,TURKEY43,TURKEY45,TURKEY47,TURKEY18SK,TURKEY18SKN,TURKEY21SK,TURKEY23SK,TURKEY24SK,TURKEY19E,TURKEY20E,TURKEY21E,TURKEY23E,TURKEY25E,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKCO,Turkey Corporates,Spread,TRUE,START,ACKAF,AEFES,CCOLAT,CCOLAT24,KCHOL20,KCHOL23,MERSIN,SISETI,TCELLT25,TURKTI19,TURKTI24,TUPRST,TUPRST24,YASARH20,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATAMEUR,Latam Eur Govt & Corps,Spread,FALSE,START,ARGENT22E,ARGENT23E,ARGENT27E,ARGENT28E,ARGENT47E,BNDES19E,BRAZIL21E,BRFSBZ22E,BUENOS23E,CEMEX22E,CEMEX23E,CEMEX24E,CHILE25E,CHILE26E,CHILE30E,COLOM26E,FEMSA23E,MEX21E,MEX22E,MEX23E,MEX24E,MEX25E,MEX29E,MEX31E,MEX45E,MEX2115E,PEMEX19E,PEMEX20E,PEMEX21E,PEMEX22E,PEMEX23E,PEMEX24E,PEMEX25E,PEMEX26E,PEMEX27E,PEMEX28E,PERU26E,PERU30E,PETBRA19E,PETBRA21E,PETBRA22E,PETBRA23E,PETBRA25E,SIGMA24E,TNEMAK24E,VALEBZ23E,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIASOV,Asia Sovereign/Quasi/Banks/Corps,Spread,TRUE,START,INDON18,INDON19,INDON20,INDON21,INDON22N,INDON22,INDON23,INDON23O,INDON24,INDON25,INDON26,INDON27,INDON27J,INDON35,INDON37,INDON38,INDON42,INDON43,INDON44,INDON45,INDON46,INDON47,INDON47J,INDOIS18,INDOIS19,INDOIS21,INDOIS22M,INDOIS22,INDOIS24,INDOIS25,INDOIS26,INDOIS27,PERTIJ21,PERTIJ22,PERTIJ23,PERTIJ41,PERTIJ42,PERTIJ43,PERTIJ44,PGASIJ24,PLBIII24,PLBIIJ25,PLBIIJ45,PLNIJ19,PLNIJ20,PLNIJ21,PLNIJ27,PLNIJ37,PLNIJ42,PLNIJ47,SAKAEI24,BBRIIJ18,BEIAIJ24,PKSTAN19N,PKSTAN19,PKSTAN21SK,PKSTAN24,PKSTAN25,PKSTAN36,PHILIP19,PHILIP19N,PHILIP20,PHILIP21,PHILIP24,PHILIP25,PHILIP26,PHILIP30,PHILIP31,PHILIP32,PHILIP34,PHILIP37,PHILIP40,PHILIP41,PHILIP42,PSALM19,PSALM24,SRILAN19,SRILAN19A,SRILAN20,SRILAN21,SRILAN22N,SRILAN22,SRILAN25,SRILAN25N,SRILAN26,SRILAN27,NSBLK18,NSBLK19,SRAILT19,VIETNM20,VIETNM24,MONGOL21,MONGOL22,MONGOL23,MONGOL24,END,,,,
ASIAHY,China HY Property & Industrials,Price,TRUE,START,AGILE20,AGILE22,AGILEP,CAPG18,CAPG19N,CAPG20,CAPG22,CENCHI18,CENCHI20,CENCHI21,CSCHCN20,CENCHI18,CENCHI20,CENCHI21,CENCHI21N,CHJMAO19,CHJMAO21,CHJMAOP4,CHJMAOP5.75,CHJMAOP6,COGARD20,COGARD21,COGARD22,COGARD23,COGARD23N,COGARD26,DALWAN18,DALWAN24,EVERRE20N,EVERRE21,EVERRE22,EVERRE23,EVERRE25,FUTLAN20,GRNCH20,GRNCHP9,GRNCHP5.25,GRNLHK18,GRNLHK19,GRNLGR19,GRNLGR24,GZRFPR22,KWGPRO19J,KWGPRO19,KWGPRO22,KWGPRO22S,KWGPRO22S5.2,LNGFOR22,LNGFOR23,ROADKG19,ROADKG21,ROADKGP7,ROADKGP7.95,SHIMAO21,SHIMAO22,SHIMAO22J,SHUION18,SHUION19,SHUION19O,SHUION21,SHUIONP10.125,SHUIONP6.4,SUNAC19,SUNAC20,SUNAC22,XIN19N,XIN21,YLLGSP22,YUZHOU19N,YUZHOU22,YUZHOU23,BTSDF21,CARINC20,CARINC21,CHALUM21,CHALUM22,CHALUMP4.25,CHALUMP5.7,CHIOIL20,CHIOIL22,DEGREE21,FOSUNI22,FOSUNI23,GOME20,MPEL25,STCITY20,STDCTY19,STDCTY21,WESCHI19,YZCOAL22,YZCOALP5.75,ZOOMLI22,END,,,,,,,
RUSSIAO&G,RUSSIAO&G,Price,FALSE,START,LUKOIL20,LUKOIL22,LUKOIL23,TMENRU18,TMENRU20,ROSNRM22,NVTKRM21,NVTKRM22,GAZPRU20N,GAZPRU22,GAZPRU22N,GAZPRU28,GAZPRU37,SIBNEF22,SIBNEF23,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNHSSA,CNH Agencies,Price,FALSE,START,ASIA19C,ASIA20C,BRCOL16C,IFC16C,IFC17C,IFC19C,KFW16C,LBANK16CM,LBANK16CS,LBANK18C,UKIN17C,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNHHY,CNH High Yield,Price,FALSE,START,AGILE17C,ASIAST18C,BINHIN15C,BJCAPT15C,BJCAPT17C,CHINSC16C,DEGREE17C,DORSET18C,ESUNHO18C,EVERRE16C,FAEACO16C,FTHDGR16C,FUTLAN16C,GEMDAL15C,GEMDAL17C,GRNCH16C,GWTH16C,HAIAIR17C,HONAIR16C,HUAXIA17C,IDOTHK18C,KAISAG16C,LAIFNG18C,LAISUN18C,LNGFOR18C,MOLAND17C,PKFOUN17C,PWRLNG17C,ROADKG16C,SANYPH15C,SANYPH17C,SHUION17C,TPHL17C,VNET16C,VNET17C,YLLGSP16C,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHF,Russia CHF indications,Price,FALSE,START,VEBBNK16CH,SBERRU17CH,VTB16CH,VTB18CH,VTB24CH,GPBKSW16CH,GPBRU24CH,ABHFIN18CH,GAZPRU19CH,RURAIL18CH,RURAIL21CH,KTZKZ19CH,KTZKZ22CH,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHF,CEEMEA / ASIA / LATAM CHF indications,Price,FALSE,START,SBERRU17CH,VTB16CH,VTB18CH,VTB24CH,GPBKSW16CH,GPBRU24CH,ABHFIN18CH,GAZPRU19CH,RURAIL18CH,RURAIL21CH,KTZKZ19CH,KTZKZ22CH,REPHUN16CH,POLAND17CH,POLAND18CH,POLAND18NCH,POLAND19CH,POLAND21CH,SLOVAK18CH,SLOVAK19CH,SLOVAK22CH,SLOVAK23CH,CCB19CH,BOCOM17CH,ICBCAS19CH,SINOCH22CH,BPCLIN19,BHARTI20CH,INVBNK19CH,PEMEX19CH,PEMEX20CH,TELEFO22CH,BANBRA19CH,BANSAF17CH,BANSAF19CH,BNCHIL17CH,BNCHIL18CH,BNCHIL19CH,BNCHIL19NCH,BANCOG18CH,BCICI16CH,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Argentina EUR,Price,FALSE,START,ARGENT21,ARGENT22E,ARGENT26,ARGENT27E,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAUSD,China USD bonds,Price,FALSE,START,ICBCAS17NY,ICBCIL18,ICBCAS19NY,ICBCAS19CH,ICBCIL20,ICBCAS20D,ICBCAS25,ICBCASP,ICBCASPE,SINOPE18E,SINOPE20,SINOPE22E,SINOPE25,CNOOC20,CNOOC20E,CNOOC25,CHGRID19,CHGRID22E,CHGRID23,CHGRID24,CHGRID27E,YANTZE22E,YANTZE25,MINMET20,MINMET25,SBSG18E,SBSG20,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIACNH,China CNH bonds,Price,FALSE,START,ICBCAS16CAP,ICBCAS16CAU,ICBCAS16CN,ICBCAS16CS,ICBCAS18C,ICBCAS19,ICBCAS19C,ICBCAS21,ICBCAS21C,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR/CHF/GBP,Russia EUR/CHF/GBP indications,Price,FALSE,START,GAZPRU5.4417E,GAZPRU6.618E,GAZPRU3.718E,SIBNEF18E,GAZPRU4.618E,GAZPRU18CH,GAZPRU19CH,GAZPRU20E,GAZPRU21CH,GAZPRU20G,GAZPRU21E,GAZPRU23E,GAZPRU24G,GAZPRU25E,RURAIL18CH,RURAIL21E,RURAIL21CH,RURAIL23E,RURAIL31G,VEBBNK18E,VEBBNK23E,SBERRU19EN,VTB18CH,VTB24CH,GPBRU18E,GPBRU19E,GPBRU24CH,ABHFIN18CH,ABHFIN20E,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKEY/CEE EUR,TURKEY/CEE EUR indications,Price,FALSE,START,TURKEY17E,TURKEY19E,TURKEY19E,TURKEY20E,TURKEY21E,TURKEY23E,POLAND17E,POLAND18E,POLAND19E,POLAND19EN,POLAND20E,POLAND21E,POLAND21EN,POLAND22E,POLAND23E,POLAND24E,POLAND25E,POLAND25EN,POLAND27E,LATVIA18E,LATVIA21EN,LATVIA24E,LATVIA25E,ROMANI18E,ROMANI19E,ROMANI20E,ROMANI24E,ROMANI24EN,ROMANI25E,ROMANI35E,REPHUN17E,REPHUN18E,REPHUN19E,REPHUN20E,CROATI18E,CROATI22E,CROATI25E,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALK,Balkans,Price,FALSE,START,ALBANI20E,BGARIA17E,BGARIA22E,BGARIA24E,BGARIA27E,BGARIA35E,CROATI17,CROATI19,CROATI20,CROATI21,CROATI23,CROATI24,CROATI18E,CROATI22E,CROATI25E,CROATI27E,MACEDO20E,MACEDO21E,MONTEN16EN,MONTEN19E,MONTEN20E,ROMANI22,ROMANI23,ROMANI24,ROMANI44,ROMANI18E,ROMANI24EN,ROMANI24E,ROMANI25E,ROMANI27E,ROMANI28E,ROMANI35E,SERBIA17,SERBIA18,SERBIA20,SERBIA21,SERBIA24,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE illiquids,CEE Illiquids,Price,FALSE,START,ALBANI20E,BOSNIA17E,BOSNIA21E,MACEDO20E,MACEDO21E,MACEDO23E,MONTEN19E,MONTEN20E,MONTEN21E,SERBIA17,SERBIA18,SERBIA20,SERBIA21,SERBIA24,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,Bulgaria,Price,FALSE,START,BGARIA17E,BGARIA22E,BGARIA24E,BGARIA27E,BGARIA35E,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLUSD,Poland $,Spread,FALSE,START,POLAND19,POLAND21,POLAND22,POLAND23,POLAND24,POLAND26,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMANI,Romania,Spread,FALSE,START,ROMANI22,ROMANI23,ROMANI24,ROMANI44,ROMANI18E,ROMANI24EN,ROMANI24E,ROMANI25E,ROMANI27E,ROMANI28E,ROMANI35E,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEE,CEE,Spread,TRUE,START,BGARIA22E,BGARIA23E,BGARIA24E,BGARIA27E,BGARIA28E,BGARIA35E,CROATI19,CROATI20,CROATI21,CROATI23,CROATI24,CROATI22E,CROATI25E,CROATI27E,LATVIA20,LATVIA21,LITHUN17,LITHUN20,LITHUN21,LITHUN22,POLAND19,POLAND21,POLAND22,POLAND23,POLAND24,POLAND26,REPHUN18,REPHUN19,REPHUN20,REPHUN21,REPHUN23,REPHUN23N,REPHUN24,REPHUN41,ROMANI22,ROMANI23,ROMANI24,ROMANI44,ROMANI24EN,ROMANI24E,ROMANI25E,ROMANI27E,ROMANI28E,ROMANI35E,SERBIA17,SERBIA18,SERBIA20,SERBIA21,SERBIA24,SLOVEN18,SLOVEN19,SLOVEN22,SLOVEN23,SLOVEN24,SLOVAK22,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOD,EOD,Price,FALSE,START,ANGOL25,ETHOPI,GABON24,GHANA26,IVYCST32,KENINT24,MOZAM,NGERIA23,REPCAM,REPNAM25,SENEGL24,SOAF26,ZAMBIN27,AZERBJ,KAZAKS25,RUSSIA23,UKRAIN27,CROATI24,LITHUN22,POLAND24,REPHUN24,ROMANI24,TURKEY26N,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSA,Bahrain/ Kuwib / Oman / KSA,Price,TRUE,START,BHRAIN24,BHRAIN25,BHRAIN26,BHRAIN28,BHRAIN29,BHRAIN44,BHRAIN47,OILGAS27,KUWIB22,KUWIB27,OMAN21,OMAN22,OMAN24SK,OMAN26,OMAN27,OMAN47,MAZOON27,KSA21,KSA22SK,KSA23,KSA26,KSA27SK,KSA28,KSA46,KSA47,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QATAR,Qatar,Price,TRUE,START,QATAR20,QATAR21,QATAR22,QATAR23SK,QATAR26,QATAR30,QATAR40,QATAR40,QATAR42,QATAR46,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAQ,Iraq,Price,TRUE,START,IRAQ23,IRAQ28,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
